name,miles,price,dealer,rating,reviews,image
2021 Mercedes-Benz GLC 300 Base,"15,010 mi.","$47,600",Porsche Chandler,4.9,311 reviews,https://platform.cstatic-images.com/large/in/v2/419073bd-1aec-5ab7-bc71-ca7c1fade287/b0141bfd-3808-4d77-8b84-2bee0d4b6ee7/WgvmXoRJINv3azp-VkvgPTnEzhY.jpg
2016 Mercedes-Benz G-Class G 550,"36,474 mi.","$94,898",Porsche Downtown LA,4.1,50 reviews,https://platform.cstatic-images.com/large/in/v2/1e139583-7012-5996-be7d-51300d779410/ad321476-03e2-435a-ab09-c8abc3a9313d/gWhVyCwch8V07rwVXs4v6yXmIcQ.jpg
2020 Mercedes-Benz GLB 250 Base,"17,603 mi.","$43,958",Mercedes-Benz of Marietta,4.7,433 reviews,https://platform.cstatic-images.com/large/in/v2/f4984ff0-cafa-5128-8d0f-c01c0a04284d/1deb1b4b-c90e-4882-8092-53d4d41c14d3/qb6bBup6gp-hgSHwsJXKfXvRBrg.jpg
2019 Mercedes-Benz E-Class E 300 4MATIC,"34,801 mi.","$33,495",26 Motors Long Island,3.2,31 reviews,https://platform.cstatic-images.com/large/in/v2/8e5398a5-359e-5d39-ad9e-4eb43b7261a7/1ae77a4c-f67e-4891-b16d-d3b2630d4caf/tLV5ddDrBq-yZ5XVmwlOWpeYtyo.jpg
2019 Mercedes-Benz GLA 250 4MATIC,"46,483 mi.","$30,990",Mercedes-Benz of Hanover,4.6,375 reviews,https://platform.cstatic-images.com/large/in/v2/4a2b2c48-4d83-4a26-88c7-159e223d88c4/2a2603e5-7fbd-4fd0-bdbe-53bbf9661b99/Z7Fq6xAxnGtu3sKLHUq5zxYvBfs.jpg
2019 Mercedes-Benz GLA 250 Base 4MATIC,"18,082 mi.","$32,582",Honda of Oakland,1.3,3 reviews,https://platform.cstatic-images.com/large/in/v2/5263809f-4324-5d11-ae6c-fb79a82b465d/27caee80-146c-44c4-9568-c0da4e2e1ec1/b41vlcm-ahBn497pMDOsL1Uo6Ek.jpg
2020 Mercedes-Benz GLE 350 Base 4MATIC,"13,939 mi.","$63,450",Mercedes-Benz of Bellevue,4.5,636 reviews,https://platform.cstatic-images.com/large/in/v2/b82ef8e0-5a19-5b80-bb44-b1a8e6045062/01532ecd-37f8-461b-99d3-87168140fbd0/FxDccDCkXr0HBsGcJgml0DJ_gi8.jpg
2020 Mercedes-Benz GLE 450 AWD 4MATIC,"13,701 mi.","$73,941",Mercedes-Benz of Delray,4.5,"1,138 reviews",https://platform.cstatic-images.com/large/in/v2/3e3cea77-151e-57d8-80b2-d4a7ccfac740/dcbcab0f-cfe5-423b-976a-f8ed32a3a961/SxIo7hk-qpP9SDZkZZNBvIaVq8w.jpg
2020 Mercedes-Benz AMG C 43 Base 4MATIC,"15,968 mi.","$61,500",Mark Kia ,4.4,"1,714 reviews",https://platform.cstatic-images.com/large/in/v2/fc6ab138-1e71-58bf-9dec-da42751edca1/b2a5df2d-38f7-4cd0-b666-405ca0f1f6ad/b72sxNXm_T0EcXMEH0ulLoNY0mU.jpg
2021 Mercedes-Benz GLS 580 Base 4MATIC,"10,398 mi.","$122,456",Jaguar Hilton Head,4.5,19 reviews,https://platform.cstatic-images.com/large/in/v2/5b15d32c-5628-4b15-8fae-013796361ccc/7f2145c2-6adc-44ba-bffb-d1fd9a3018aa/VFggZquKx3ArLPOoBatpasdIEzQ.jpg
